"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
"Gausman, Kevin",592332,TOR,FF,4-Seam Fastball,1.3,20,1628,53.7,437,0.23,0.38,0.306,16.9,19,17.7,0.263,0.456,0.342,46.6
"Parker, Mitchell",680730,WSH,FF,4-Seam Fastball,-0.4,-6,1501,55.5,417,0.269,0.447,0.358,10.7,8.9,10.1,0.31,0.512,0.39,54.2
"Ray, Robbie",592662,SF,FF,4-Seam Fastball,0.6,9,1595,52,415,0.208,0.357,0.3,23.5,26,20.6,0.211,0.374,0.3,44.6
"Soriano, José",667755,LAA,SI,Sinker,0.1,2,1368,49.1,412,0.29,0.38,0.357,16.1,7.8,13.3,0.289,0.41,0.354,54.7
"Nelson, Ryne",669194,AZ,FF,4-Seam Fastball,1.5,23,1526,61.9,405,0.207,0.36,0.281,19.1,22.7,17.4,0.245,0.403,0.311,45.4
"Peralta, Freddy",642547,MIL,FF,4-Seam Fastball,0.6,9,1651,53.5,395,0.209,0.381,0.314,22.8,23.5,17.6,0.241,0.455,0.349,41.8
"Sánchez, Cristopher",650911,PHI,SI,Sinker,1.4,19,1332,46,375,0.269,0.342,0.313,14.5,14.9,23.1,0.261,0.398,0.318,50.5
"Valdez, Framber",664285,HOU,SI,Sinker,1.1,14,1272,44,362,0.285,0.39,0.336,12.5,7.2,17.2,0.31,0.45,0.36,50.5
"Ryan, Joe",657746,MIN,FF,4-Seam Fastball,1.3,18,1430,51.2,361,0.204,0.385,0.283,26.9,30.2,23.3,0.197,0.394,0.278,44.1
"Gallen, Zac",668678,AZ,FF,4-Seam Fastball,0.3,5,1412,45.1,352,0.244,0.413,0.323,13,17.9,16.3,0.265,0.483,0.351,52
"Senzatela, Antonio",622608,COL,FF,4-Seam Fastball,-1.7,-21,1217,53.3,350,0.365,0.542,0.441,12.4,8.9,10.6,0.332,0.518,0.411,48.7
"Pallante, Andre",669467,STL,FF,4-Seam Fastball,-0.6,-7,1198,44,347,0.312,0.514,0.403,14.4,9.2,13,0.301,0.481,0.369,46.1
"Castillo, Luis",622491,SEA,FF,4-Seam Fastball,0.9,12,1386,46.4,343,0.2,0.406,0.292,26.5,26.5,17.6,0.195,0.393,0.283,49.3
"Pivetta, Nick",601713,SD,FF,4-Seam Fastball,1.3,17,1312,46,342,0.195,0.349,0.276,24.1,28.7,24.2,0.227,0.443,0.329,54.9
"Abbott, Andrew",671096,CIN,FF,4-Seam Fastball,1.2,15,1263,47.2,330,0.232,0.365,0.302,19.9,23,18.5,0.227,0.379,0.303,40.7
"Flaherty, Jack",656427,DET,FF,4-Seam Fastball,0.2,3,1327,46.9,323,0.264,0.444,0.348,17,22.9,19.2,0.268,0.472,0.353,47.7
"Bassitt, Chris",605135,TOR,SI,Sinker,0.2,2,1179,41.7,322,0.297,0.431,0.371,14.4,14.6,18.7,0.295,0.447,0.357,44.4
"Boyd, Matthew",571510,CHC,FF,4-Seam Fastball,0.8,10,1276,46.5,319,0.247,0.402,0.299,15.7,16.9,14.8,0.271,0.458,0.333,45.7
"Sánchez, Cristopher",650911,PHI,CH,Changeup,1.7,18,1083,37.4,318,0.17,0.243,0.207,45.1,40.9,29.8,0.183,0.232,0.202,25.7
"Holmes, Clay",605280,NYM,SI,Sinker,0.9,10,1133,41,316,0.285,0.388,0.361,16.5,11.1,19.7,0.275,0.399,0.36,51.5
"Rodriguez, Eduardo",593958,AZ,FF,4-Seam Fastball,-0.5,-6,1177,45.5,311,0.285,0.489,0.371,22.9,26.7,24.1,0.259,0.455,0.345,44.8
"deGrom, Jacob",594798,TEX,FF,4-Seam Fastball,1.7,21,1203,46,310,0.189,0.393,0.275,21.5,24.5,20.5,0.221,0.414,0.299,43.9
"Cease, Dylan",656302,SD,FF,4-Seam Fastball,-0.1,-1,1252,41.1,309,0.24,0.42,0.341,25.5,23.3,18.5,0.219,0.385,0.318,39.2
"Gore, MacKenzie",669022,WSH,FF,4-Seam Fastball,0,0,1388,49.3,309,0.294,0.483,0.371,20.7,16.5,15.6,0.292,0.495,0.376,47.8
"Cease, Dylan",656302,SD,SL,Slider,0.3,4,1248,41,309,0.228,0.374,0.303,42.8,37.5,23,0.202,0.315,0.262,35.3
"Giolito, Lucas",608337,BOS,FF,4-Seam Fastball,0.4,5,1145,48.4,303,0.267,0.389,0.343,16,15.2,16.8,0.302,0.509,0.387,48.6
"Skenes, Paul",694973,PIT,FF,4-Seam Fastball,1.8,22,1187,39.6,299,0.204,0.331,0.27,29,34.8,26.3,0.198,0.345,0.268,51.7
