game_date,pitcher,player_name,batter,pitch_type,release_speed,plate_x,plate_z,description,events,balls,strikes,outs_when_up,stand,p_throws,inning,home_team,away_team,sz_top,sz_bot
2026-03-29,668674,"Erceg, Lucas",645277,FF,98.9,-0.1174188042203873,1.7269173756964855,hit_into_play,grounded_into_double_play,1,1,1,L,R,9,ATL,KC,2.984801509,1.506348425
2026-03-29,668674,"Erceg, Lucas",645277,SL,84.7,-0.4822047851608108,1.7469602568380471,foul,,1,0,1,L,R,9,ATL,KC,2.984801509,1.506348425
2026-03-29,668674,"Erceg, Lucas",645277,SL,85.7,1.001059527049576,1.603465616476646,ball,,0,0,1,L,R,9,ATL,KC,2.984801509,1.506348425
2026-03-29,668674,"Erceg, Lucas",573262,CH,91.1,-0.8716620156168411,1.579947792998088,hit_into_play,single,2,1,1,L,R,9,ATL,KC,3.125221457,1.577214567
2026-03-29,668674,"Erceg, Lucas",573262,FF,98.2,-0.9649942486249884,1.4430864114319002,called_strike,,2,0,1,L,R,9,ATL,KC,3.125221457,1.577214567
2026-03-29,668674,"Erceg, Lucas",573262,FF,98.8,0.6771286486201828,1.0018232972057397,ball,,1,0,1,L,R,9,ATL,KC,3.125221457,1.577214567
2026-03-29,668674,"Erceg, Lucas",573262,SI,98.8,-1.5004111199955614,1.5016322357630243,ball,,0,0,1,L,R,9,ATL,KC,3.125221457,1.577214567
2026-03-29,668674,"Erceg, Lucas",663586,FF,99.5,-0.0285887637627526,2.994425508379285,swinging_strike,strikeout,2,2,0,R,R,9,ATL,KC,3.273540026,1.652066929
2026-03-29,668674,"Erceg, Lucas",663586,FF,97.9,-0.908854650525356,4.084804457766767,ball,,1,2,0,R,R,9,ATL,KC,3.273540026,1.652066929
2026-03-29,668674,"Erceg, Lucas",663586,SL,85.3,-0.7212012792793898,2.5882354269472225,foul,,1,1,0,R,R,9,ATL,KC,3.273540026,1.652066929
2026-03-29,668674,"Erceg, Lucas",663586,SI,97.5,-0.9816632166823822,2.738208583544523,foul,,1,0,0,R,R,9,ATL,KC,3.273540026,1.652066929
2026-03-29,668674,"Erceg, Lucas",663586,SI,97.6,-1.199179560878998,2.054433147519667,ball,,0,0,0,R,R,9,ATL,KC,3.273540026,1.652066929
2026-03-29,800311,"Fuentes, Didier",672580,FF,95.8,0.1868509350499239,2.564712224497898,hit_into_play,field_out,3,2,2,R,R,9,ATL,KC,3.262130906,1.646309055
2026-03-29,800311,"Fuentes, Didier",672580,FF,94.5,0.00041382418076,2.0507415230573516,foul,,3,1,2,R,R,9,ATL,KC,3.262130906,1.646309055
2026-03-29,800311,"Fuentes, Didier",672580,FF,94.5,0.8702659531959077,1.9561046505125093,called_strike,,3,0,2,R,R,9,ATL,KC,3.262130906,1.646309055
2026-03-29,800311,"Fuentes, Didier",672580,SL,85.3,1.2660198628074903,0.730571082180484,ball,,2,0,2,R,R,9,ATL,KC,3.262130906,1.646309055
2026-03-29,800311,"Fuentes, Didier",672580,FF,94.3,1.0727655726676373,1.9139487133809925,ball,,1,0,2,R,R,9,ATL,KC,3.262130906,1.646309055
2026-03-29,800311,"Fuentes, Didier",672580,FF,95.5,0.9961236058187264,1.7401654952682888,ball,,0,0,2,R,R,9,ATL,KC,3.262130906,1.646309055
2026-03-29,800311,"Fuentes, Didier",664728,FS,86.1,-0.8821539599018464,1.8585689010229245,hit_into_play,single,0,1,2,L,R,9,ATL,KC,3.113812336,1.571456693
2026-03-29,800311,"Fuentes, Didier",664728,SL,84.9,-0.0107042274916831,2.25488564323361,called_strike,,0,0,2,L,R,9,ATL,KC,3.113812336,1.571456693
2026-03-29,800311,"Fuentes, Didier",679845,SL,83.9,-0.0093149048491889,1.4642295280320117,hit_into_play,field_out,1,1,1,R,R,9,ATL,KC,3.18226706,1.606003937
2026-03-29,800311,"Fuentes, Didier",679845,FF,93.7,-0.6260527020349959,2.7809208755859496,called_strike,,1,0,1,R,R,9,ATL,KC,3.18226706,1.606003937
2026-03-29,800311,"Fuentes, Didier",679845,FF,92.1,0.059611750230397,3.78168502867341,ball,,0,0,1,R,R,9,ATL,KC,3.18226706,1.606003937
2026-03-29,800311,"Fuentes, Didier",695506,FS,83.8,-0.9564453467675964,1.0947104328310768,hit_into_play,field_out,0,0,0,L,R,9,ATL,KC,3.401673228,1.716732283
2026-03-29,670167,"Schreiber, John",621566,CH,85.6,-0.6712121495981752,1.6405269304858423,called_strike,strikeout,2,2,2,L,R,8,ATL,KC,3.37183399,1.701673228
2026-03-29,670167,"Schreiber, John",621566,FC,89.7,1.030193305204924,2.9447588126673683,foul,,2,2,2,L,R,8,ATL,KC,3.37183399,1.701673228
2026-03-29,670167,"Schreiber, John",621566,FF,92.7,-1.5198894872328652,3.0270379133399317,ball,,1,2,2,L,R,8,ATL,KC,3.37183399,1.701673228
2026-03-29,670167,"Schreiber, John",621566,CH,86.5,-0.3567597208443277,-0.3046773762475219,ball,,0,2,2,L,R,8,ATL,KC,3.37183399,1.701673228
2026-03-29,670167,"Schreiber, John",621566,ST,83.0,-0.2134094374072881,2.2518789961230845,called_strike,,0,1,2,L,R,8,ATL,KC,3.37183399,1.701673228
2026-03-29,670167,"Schreiber, John",621566,FC,90.0,-0.5396779551256689,2.5505506717814956,called_strike,,0,0,2,L,R,8,ATL,KC,3.37183399,1.701673228
