fighter_red,fighter_blue,red_url,blue_url,red_id,blue_id,weight_class
Merab Dvalishvili,Petr Yan,http://ufcstats.com/fighter-details/c03520b5c88ed6b4,http://ufcstats.com/fighter-details/d661ce4da776fc20,c03520b5c88ed6b4,d661ce4da776fc20,Bantamweight
Alexandre Pantoja,Joshua Van,http://ufcstats.com/fighter-details/a0f0004aadf10b71,http://ufcstats.com/fighter-details/17e97649403ba428,a0f0004aadf10b71,17e97649403ba428,Flyweight
Brandon Moreno,Tatsuro Taira,http://ufcstats.com/fighter-details/792be9a24df82ed6,http://ufcstats.com/fighter-details/4461d7e47375a895,792be9a24df82ed6,4461d7e47375a895,Flyweight
Henry Cejudo,Payton Talbott,http://ufcstats.com/fighter-details/056c493bbd76a918,http://ufcstats.com/fighter-details/6e743a33d56bdaa4,056c493bbd76a918,6e743a33d56bdaa4,Bantamweight
Jan Blachowicz,Bogdan Guskov,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8,http://ufcstats.com/fighter-details/ef5dcb10d2bd4b0f,99df7d0a2a08a8a8,ef5dcb10d2bd4b0f,Light Heavyweight
Grant Dawson,Manuel Torres,http://ufcstats.com/fighter-details/99bd51917728c25d,http://ufcstats.com/fighter-details/2e7878927067fdca,99bd51917728c25d,2e7878927067fdca,Lightweight
Terrance McKinney,Chris Duncan,http://ufcstats.com/fighter-details/809bd1a871491508,http://ufcstats.com/fighter-details/fd406a32a6fb3a29,809bd1a871491508,fd406a32a6fb3a29,Lightweight
Maycee Barber,Karine Silva,http://ufcstats.com/fighter-details/6a740daf1b279661,http://ufcstats.com/fighter-details/9d62c2d8ee151f08,6a740daf1b279661,9d62c2d8ee151f08,Women's Flyweight
Nazim Sadykhov,Fares Ziam,http://ufcstats.com/fighter-details/ff62013d2fce6d13,http://ufcstats.com/fighter-details/1e4f273069fb9e85,ff62013d2fce6d13,1e4f273069fb9e85,Lightweight
Marvin Vettori,Brunno Ferreira,http://ufcstats.com/fighter-details/7acbb0972e75281a,http://ufcstats.com/fighter-details/1e719d4b676dc19a,7acbb0972e75281a,1e719d4b676dc19a,Middleweight
Edson Barboza,Jalin Turner,http://ufcstats.com/fighter-details/64a50dad704d1d49,http://ufcstats.com/fighter-details/4d8fa64202cee4c1,64a50dad704d1d49,4d8fa64202cee4c1,Lightweight
Iwo Baraniewski,Ibo Aslan,http://ufcstats.com/fighter-details/1c23ec2f1b71be40,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45,1c23ec2f1b71be40,6e8f1bcdda94ff45,Light Heavyweight
Mansur Abdul-Malik,Antonio Trocoli,http://ufcstats.com/fighter-details/841695e02c99a521,http://ufcstats.com/fighter-details/6d48a2df51749d91,841695e02c99a521,6d48a2df51749d91,Middleweight
Muhammad Naimov,Mairon Santos,http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7,http://ufcstats.com/fighter-details/480779d7f9a424d3,8d11d9c13e2ccdf7,480779d7f9a424d3,Featherweight
